model,accuracy,precision,recall,f1_score,tp,fp,tn,fn,sub,task,session,target_label,pca_model,tmin,tmax,decim,low pass,high pass,clip_percentile,baseline_correction,time_offset,train_data_balanced,test_data_balanced,description
pca,0.5274949083503055,0.5165394402035624,0.8285714285714286,0.6363636363636364,203,190,56,42,1,1,0,voiced,light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 5000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.47046843177189407,0.44274809160305345,0.23673469387755103,0.30851063829787234,58,73,173,187,11,1,0,voiced,light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 10000, ""sub_ses_task_list"": [[11, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.5336048879837068,0.523121387283237,0.7387755102040816,0.6125211505922166,181,165,81,64,1,1,0,voiced,light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 10000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.5315682281059063,0.6190476190476191,0.15918367346938775,0.2532467532467532,39,24,222,206,11,1,0,voiced,light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 10000, ""sub_ses_task_list"": [[11, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.49287169042769857,0.4946524064171123,0.7551020408163265,0.5977382875605816,185,189,57,60,1,1,0,voiced,light,-0.1,0.3,2,1,8,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 10000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.4663951120162933,0.44370860927152317,0.27346938775510204,0.3383838383838384,67,84,162,178,1,1,0,voiced,light,-0.1,0.3,2,1,8,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 10000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.5076660988074957,0.524390243902439,0.14675767918088736,0.22933333333333336,43,39,255,250,1,1,0,word_onset,light,-0.1,0.3,10,1,8,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""word_onset"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 10, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.5127768313458262,0.5275590551181102,0.22866894197952217,0.319047619047619,67,60,234,226,1,1,0,word_onset,light,-0.1,0.3,10,1,8,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""word_onset"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 10, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.4855195911413969,0.48068669527896996,0.3822525597269625,0.42585551330798477,112,121,173,181,1,1,0,word_onset,light,-0.1,0.3,10,0.5,35,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""word_onset"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 10, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 35, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light"", ""clip_percentile"": 99.5}"
pca,0.5091649694501018,0.505524861878453,0.746938775510204,0.6029654036243822,183,179,67,62,1,1,0,voiced,super light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light"", ""clip_percentile"": 99.5}"
pca,0.4725050916496945,0.4825,0.7877551020408163,0.5984496124031008,193,207,39,52,11,1,0,voiced,super light,-0.1,0.3,2,0.5,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[11, 0, 1]], ""pca_model"": ""super light"", ""clip_percentile"": 99.5}"
pca,0.5336048879837068,0.5317460317460317,0.5469387755102041,0.5392354124748491,134,118,128,111,11,1,0,voiced,super light,-0.1,0.3,2,35,180,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 35, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[11, 0, 1]], ""pca_model"": ""super light"", ""clip_percentile"": 99.5}"
pca,0.48065173116089616,0.4868421052631579,0.7551020408163265,0.592,185,195,51,60,1,1,0,voiced,super light,-0.1,0.3,2,1,8,99.5,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light"", ""clip_percentile"": 99.5}"
pca,0.4989816700610998,0.4989816700610998,1.0,0.6657608695652174,245,246,0,0,1,1,0,voiced,super light,-0.1,0.3,2,0.5,180,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light""}"
pca,0.570264765784114,0.5406698564593302,0.9224489795918367,0.6817496229260935,226,192,54,19,1,1,0,voiced,super light,-0.1,0.3,2,35,180,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 35, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light""}"
pca,0.4989816700610998,0.4989816700610998,1.0,0.6657608695652174,245,246,0,0,1,1,0,voiced,super light,-0.1,0.3,2,1,8,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light""}"
pca,0.5254582484725051,0.5526315789473685,0.2571428571428571,0.35097493036211697,63,51,195,182,1,1,0,voiced,light,-0.1,0.3,2,35,180,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 35, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light""}"
pca,0.5519348268839104,0.540453074433657,0.6816326530612244,0.6028880866425992,167,142,104,78,1,1,0,voiced,light,-0.1,0.3,2,35,180,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 35, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light""}"
pca,0.5010183299389002,0.5,0.02857142857142857,0.05405405405405405,7,7,239,238,1,1,0,voiced,super light,-0.1,0.3,2,1,8,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""super light""}"
pca,0.48879837067209775,0.49214659685863876,0.7673469387755102,0.5996810207336523,188,194,52,57,1,1,0,voiced,light,-0.1,0.3,10,1,8,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 10, ""preprocess_low_pass"": 1, ""preprocess_high_pass"": 8, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light""}"
pca,0.48268839103869654,0.47619047619047616,0.3673469387755102,0.4147465437788018,90,99,147,155,1,1,0,voiced,light,-0.1,0.3,2,0.5,180,,no,0,NONE,NONE,"{""flow"": ""pca"", ""target_label"": ""voiced"", ""meg_tmin"": -0.1, ""meg_tmax"": 0.3, ""meg_decim"": 2, ""preprocess_low_pass"": 0.5, ""preprocess_high_pass"": 180, ""epoch"": 8000, ""sub_ses_task_list"": [[1, 0, 1]], ""pca_model"": ""light""}"
